Date,Value
2016-02-29,473500.0
2016-01-31,508250.0
2015-12-31,503500.0
2015-11-30,474250.0
2015-10-31,476750.0
2015-09-30,528975.0
2015-08-31,506725.0
2015-07-31,489900.0
2015-06-30,477900.0
2015-05-31,511100.0
2015-04-30,525750.0
2015-03-31,553750.0
2015-02-28,547250.0
2015-01-31,474000.0
2014-12-31,458500.0
2014-11-30,468250.0
2014-10-31,486250.0
2014-09-30,506750.0
2014-08-31,485350.0
2014-07-31,439500.0
2014-06-30,449900.0
2014-05-31,444500.0
2014-04-30,433300.0
2014-03-31,410450.0
2014-02-28,416750.0
2014-01-31,421250.0
2013-12-31,455700.0
2013-11-30,465050.0
2013-10-31,454000.0
2013-09-30,449600.0
2013-08-31,438900.0
2013-07-31,460250.0
2013-06-30,448300.0
2013-05-31,460450.0
2013-04-30,432000.0
2013-03-31,409250.0
2013-02-28,402750.0
2013-01-31,402000.0
2012-12-31,406500.0
2012-11-30,422000.0
2012-10-31,419700.0
2012-09-30,403025.0
2012-08-31,395225.0
2012-07-31,417250.0
2012-06-30,434750.0
2012-05-31,415225.0
2012-04-30,404775.0
2012-03-31,367000.0
2012-02-29,344250.0
2012-01-31,318750.0
2011-12-31,349250.0
2011-11-30,343250.0
2011-10-31,351750.0
2011-09-30,336500.0
2011-08-31,350500.0
2011-07-31,361750.0
2011-06-30,342500.0
2011-05-31,341750.0
2011-04-30,373250.0
2011-03-31,343000.0
2011-02-28,342500.0
2011-01-31,348375.0
2010-12-31,383575.0
2010-11-30,399050.0
2010-10-31,394250.0
2010-09-30,374775.0
2010-08-31,354225.0
2010-07-31,364350.0
2010-06-30,345600.0
2010-05-31,351250.0
2010-04-30,384800.0
2010-03-31,422500.0
2010-02-28,442725.0
2010-01-31,417900.0
2009-12-31,392625.0
2009-11-30,398500.0
2009-10-31,423931.75
2009-09-30,427066.25
2009-08-31,430482.0
2009-07-31,435485.0
2009-06-30,457285.0
2009-05-31,411415.0
2009-04-30,400700.0
2009-03-31,461250.0
2009-02-28,465200.0
2009-01-31,456800.0
2008-12-31,434000.0
2008-11-30,469750.0
2008-10-31,483500.0
2008-09-30,499500.0
2008-08-31,461250.0
2008-07-31,437750.0
2008-06-30,405410.0
2008-05-31,457890.0
2008-04-30,504700.0
2007-11-30,411400.0
2007-10-31,431750.0
2007-09-30,401200.0
2007-08-31,402550.0
2007-07-31,402150.0
2007-06-30,415000.0
2007-05-31,444325.0
2007-04-30,471975.0
2007-03-31,453400.0
2007-02-28,423600.0
2007-01-31,400800.0
2006-12-31,393300.0
2006-11-30,415300.0
2006-10-31,459050.0
2006-09-30,443000.0
2006-08-31,430350.0
2006-07-31,456650.0
2006-06-30,480750.0
2006-05-31,453500.0
2006-04-30,426750.0
2006-03-31,412050.0
2006-02-28,445350.0
2006-01-31,468500.0
2005-12-31,508050.0
2005-11-30,499050.0
2005-10-31,493850.0
2005-09-30,455750.0
2005-08-31,476000.0
2005-07-31,463650.0
2005-06-30,459000.0
2005-05-31,432600.0
2005-04-30,433000.0
2005-03-31,403250.0
2005-02-28,373300.0
2005-01-31,377775.0
2004-12-31,383575.0
2004-11-30,379050.0
2004-10-31,369625.0
2004-09-30,394550.0
2004-08-31,418025.0
2004-07-31,422125.0
2004-06-30,461475.0
2004-05-31,529150.0
2004-04-30,530500.0
2004-03-31,454000.0
2004-02-29,422130.0
2004-01-31,464870.0
2003-12-31,495200.0
2003-11-30,508700.0
2003-10-31,493300.0
2003-09-30,465250.0
2003-08-31,530300.0
2003-07-31,500700.0
2003-06-30,456050.0
2003-05-31,404000.0
2003-04-30,333298.5
2003-03-31,329096.5
2003-02-28,354493.5
2003-01-31,389646.5
2002-12-31,464630.0
2002-11-30,485215.0
2002-10-31,417200.0
2002-09-30,360588.2353
2002-08-31,341153.8462
2002-06-30,351750.0
2002-05-31,352352.9412
2002-04-30,332230.7692
2002-02-28,365382.3077
2001-12-31,339990.0
2001-05-31,291538.4615
2001-03-31,322307.6923
2001-01-31,421835.0
2000-12-31,425740.0
2000-11-30,436200.0
2000-10-31,408500.0
2000-09-30,365925.0
2000-08-31,397175.0
2000-07-31,365800.0
2000-06-30,353950.0
2000-05-31,305400.0
2000-04-30,310000.0
2000-03-31,292400.0
2000-01-31,351000.0
1999-10-31,261750.0
1999-09-30,268750.0
1999-08-31,282200.0
1999-07-31,262775.0
1999-06-30,247625.0
1999-05-31,240500.0
1999-04-30,264000.0
1999-03-31,284807.6923
1999-01-31,199852.9412
1998-12-31,219230.7692
1998-10-31,261230.7692
1998-08-31,346200.0
1998-06-30,220000.0
1998-05-31,242775.0
1998-03-31,199230.7692
1998-01-31,206950.0
1997-12-31,219600.0
1997-11-30,200150.0
1997-10-31,198250.0
1997-09-30,216150.0
1997-08-31,221600.0
1997-07-31,207400.0
1997-06-30,192850.0
1997-05-31,193875.0
1997-04-30,199264.7059
1997-03-31,212500.0
1996-10-31,183000.0
1996-07-31,159461.5385
1996-05-31,182230.7692
